RM,unit,Branch, December , 12th jan , 19th jan , 26th jan , January , WK1 FEB , WK1 FEB2 , WK1 FEB3 , WK1 FEB4 , WK1 mar 
RM 3,Branch Banking,Eldoret,3085,3085,3085,3085,3085,3085,3085,3085,3085,3085
RM 6,Institutional Banking,Milimani,99,99,99,99,99,16099,16099,16099,1097,94
RM 5,Corporate Banking,Milimani,20499,20499,20499,20499,19899,19899,19899,19899,19299,19299
RM 3,Branch Banking,Eldoret,3051,3051,3051,3051,3051,3051,3051,3051,3051,3051
RM 3,Branch Banking,Eldoret,3045,3045,3045,3045,3045,3045,3045,3045,3045,3045
RM 7,Corporate Sales,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 1,Branch Banking,Milimani,38220,38392,38778,38553,37527,38307,37882,37972,36906,36261
RM 2,Branch Banking,Mombasa,    ,    ,    ,    ,634827,195,195,195,    ,636
RM 3,Branch Banking,Eldoret,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 13,Branch Banking,Industrial Area,3383,3383,3633,3733,3733,4583,4683,4383,4683,4883
RM 8 ,Corporate Sales,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 1,Branch Banking,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 9,Corporate Banking,Milimani,68753,69020,69619,69269,68644,69873,69204,69346,68644,67611
RM 6,Institutional Banking,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 7,Corporate Sales,Milimani,807665,812565,812565,812565,813038,713038,713038,713038,714483,634483
RM 3,Branch Banking,Eldoret,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921
RM 8 ,Corporate Sales,Milimani,3649,646,1346,791,1091,289,789,986,1186,1984
RM 3,Branch Banking,Eldoret,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898
RM 13,Branch Banking,Industrial Area,616294,15694,    ,    ,    ,    ,    ,    ,    ,    
RM 6,Institutional Banking,Milimani,699720,29720,374720,224720,24720,24720,77861,27861,27861,857319
RM 3,Branch Banking,Eldoret,778,778,778,778,    ,    ,    ,    ,    ,    
RM 1,Branch Banking,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 3,Branch Banking,Eldoret,769,769,769,769,769,769,769,769,769,769
RM 2,Branch Banking,Mombasa,2781,2781,2781,2781,2781,2781,2781,2781,2781,2781
RM 3,Branch Banking,Eldoret,9633,67,67,67,    ,    ,    ,    ,    ,    
RM 3,Branch Banking,Eldoret,2759,2759,2759,2759,2759,2759,2759,2759,2759,2759
RM 3,Branch Banking,Eldoret,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753
RM 2,Branch Banking,Mombasa,2715,2715,2715,2715,2715,2715,2715,2715,2715,2715
RM 3,Branch Banking,Eldoret,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 3,Branch Banking,Eldoret,2694,2694,2694,2694,2694,2694,2694,2694,2694,2694
RM 3,Branch Banking,Eldoret,2684,2684,2684,2684,2684,2684,2684,2684,2684,2684
RM 7,Corporate Sales,Milimani,2698,2698,2698,2698,2698,2698,2698,2698,2698,2698
RM 2,Branch Banking,Mombasa,2694,2694,2694,2694,2694,2694,2694,2694,2694,2694
RM 8 ,Corporate Sales,Milimani,2693,2693,2693,2693,2693,2693,2693,2693,2693,2693
RM 2,Branch Banking,Mombasa,15604,15604,15604,10580,10580,10580,10580,10580,5556,5556
STAFF,Staff,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 3,Branch Banking,Eldoret,2633,2633,2633,2633,2633,2633,2633,2633,2633,2633
RM 3,Branch Banking,Eldoret,440,440,440,440,440,440,440,440,440,440
RM 2,Branch Banking,Mombasa,2609,2609,2609,2609,2609,2609,2609,2609,2609,2609
RM 3,Branch Banking,Eldoret,2611,2611,2611,2611,2611,2611,2611,2611,2611,2611
RM 2,Branch Banking,Mombasa,2598,2598,2598,2598,2598,2598,2598,2598,2598,2598
STAFF,Staff,Mombasa,54199,54199,54199,54199,54199,54199,54199,54199,54199,54199
RM 3,Branch Banking,Eldoret,4669,2569,2569,2569,2569,2569,2569,2569,2569,2569
RM 3,Branch Banking,Eldoret,2563,2563,2563,2563,2563,2563,2563,2563,2563,2563
RM 7,Corporate Sales,Milimani,2605,2607,2636,2636,2636,2627,2611,2625,2625,2636
RM 3,Branch Banking,Eldoret,0,0,0,0,    ,    ,    ,    ,    ,    
RM 3,Branch Banking,Eldoret,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 2,Branch Banking,Mombasa,303504,303504,303504,303504,303504,303504,303504,303504,303504,303504
RM 1,Branch Banking,Milimani,30751,130751,130751,130751,130151,130151,130151,130151,129551,129551
RM 3,Branch Banking,Eldoret,4091,4091,1091,1091,131,30781,37,45000,14463,31
RM 6,Institutional Banking,Milimani,65145,47,47,47,1067,    ,    ,    ,152967,8678
RM 8 ,Corporate Sales,Milimani,70100,70100,70100,70100,69500,69500,69500,69500,68900,68900
RM 3,Branch Banking,Eldoret,2526,2526,2526,2526,2526,2526,2526,2526,2526,2526
RM 3,Branch Banking,Eldoret,511,511,511,511,511,511,511,511,511,511
RM 2,Branch Banking,Mombasa,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515
RM 3,Branch Banking,Eldoret,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 6,Institutional Banking,Milimani,56979,56986,157074,157074,155485,155461,155420,155455,153874,153899
RM 3,Branch Banking,Eldoret,2447,2447,2447,2447,2447,2447,2447,2447,2447,2447
RM 3,Branch Banking,Eldoret,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430
STAFF,Staff,Milimani,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430
RM 13,Branch Banking,Industrial Area,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 2,Branch Banking,Mombasa,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397
RM 2,Branch Banking,Mombasa,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397
RM 2,Branch Banking,Mombasa,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397
RM 9,Corporate Banking,Milimani,1413,40213,28211,1208,1208,1208,1206,1206,1206,66198
RM 3,Branch Banking,Eldoret,2369,2369,2369,2369,2369,2369,2369,2369,2369,2369
RM 3,Branch Banking,Eldoret,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 7,Corporate Sales,Milimani,64437,38435,38435,59990,9387,9387,49287,49287,70242,15240
RM 2,Branch Banking,Mombasa,2347,2347,2347,2347,2347,2347,2347,2347,2347,2347
RM 3,Branch Banking,Eldoret,2328,2328,2328,2328,2328,2328,2328,2328,2328,2328
RM 2,Branch Banking,Mombasa,2322,2322,2322,2322,2322,2322,2322,2322,2322,2322
RM 2,Branch Banking,Mombasa,60,60,10,10,10,10,10,10,10,10
RM 1,Branch Banking,Milimani,163,163,164,164,164,164,163,164,164,232
RM 3,Branch Banking,Eldoret,565,565,565,565,565,815,815,815,815,1815
RM 5,Corporate Banking,Milimani,80619,80675,81408,81408,80190,79966,79576,79911,78697,78974
RM 1,Branch Banking,Milimani,193116,193174,193926,193926,192707,192478,192077,192421,191208,191491
RM 3,Branch Banking,Eldoret,1474,46474,76474,500,500,72026,80026,80026,6401,11401
RM 1,Branch Banking,Milimani,204569,204721,206701,206701,205483,204876,203813,204724,203510,208503
STAFF,Staff,Industrial Area,33702,2,    ,69000,1914,14,    ,    ,93086,    
RM 1,Branch Banking,Milimani,35050,35050,35050,35050,34450,34450,34450,34450,33850,33850
RM 1,Branch Banking,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 1,Branch Banking,Milimani,259927,260075,261996,261996,260777,260189,259158,260041,258828,259561
RM 6,Institutional Banking,Milimani,8360398,11069473,7277647,6355647,5432387,3071047,954631,900631,899155,400115
RM 3,Branch Banking,Eldoret,6043,7019,5087,8149,21003,6397,2167,511,20651,3087
RM 6,Institutional Banking,Milimani,9,9,9,9,    ,    ,    ,    ,    ,    
RM 5,Corporate Banking,Milimani,6387,6387,6387,6387,6387,6387,6387,6387,6387,6387
RM 3,Branch Banking,Eldoret,1690,1690,1690,1690,1690,1690,1690,1690,1690,688
RM 1,Branch Banking,Milimani,    ,    ,    ,    ,    ,    ,69104,11855,10873,10921
RM 2,Branch Banking,Mombasa,2212,2212,2212,2212,2212,2212,2212,2212,2212,2212
RM 3,Branch Banking,Eldoret,42193,104188,89185,89185,89185,59183,59183,24180,24180,24180
RM 3,Branch Banking,Eldoret,2206,2206,2206,2206,2206,2206,2206,2206,2206,2206
RM 3,Branch Banking,Eldoret,2206,2206,2206,2206,2206,2206,2206,2206,2206,2206
RM 3,Branch Banking,Eldoret,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
STAFF,Staff,Milimani,4295,67190,2178,22817,18312,336305,120402,71544,12770,770
RM 1,Branch Banking,Milimani,23,23,23,23,23,23,23,23,23,23
RM 13,Branch Banking,Industrial Area,870,1870,2870,3870,804,804,804,4704,4704,4704
RM 3,Branch Banking,Eldoret,2120,2120,2120,2120,2120,2120,2120,2120,2120,2120
RM 3,Branch Banking,Eldoret,2104,2104,2104,2104,2104,2104,2104,2104,2104,2104
RM 3,Branch Banking,Eldoret,2184701,2184701,2184701,2184701,2184701,2184701,2184701,2184701,2189976,2189976
RM 3,Branch Banking,Eldoret,2084,2084,2084,2084,2084,2084,2084,2084,2084,2084
RM 3,Branch Banking,Eldoret,1433,1433,1433,1433,1433,1433,1433,1433,1433,1433
RM 1,Branch Banking,Milimani,191328,189328,189328,178746,173746,172746,172746,172746,168746,161161
RM 3,Branch Banking,Eldoret,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 3,Branch Banking,Eldoret,2070,2070,2070,2070,2070,2070,2070,2070,2070,2070
RM 1,Branch Banking,Milimani,64974,65024,65677,65677,65059,64860,64513,64811,64197,64443
RM 3,Branch Banking,Eldoret,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 3,Branch Banking,Eldoret,2074,2074,2074,2074,2074,2074,2074,2074,2074,2074
RM 13,Branch Banking,Industrial Area,2267746,1467335,1102335,535177,186761,599597,572597,899597,268661,242549
RM 8 ,Corporate Sales,Milimani,3979,13,40815,22521,75221,10929,5049,0,22131,5069
RM 13,Branch Banking,Industrial Area,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331
RM 3,Branch Banking,Eldoret,1934,1934,1934,1934,1934,1934,1934,1934,1934,1934
RM 2,Branch Banking,Mombasa,9070,9070,9070,9070,9070,9070,9070,9070,9070,9070
RM 13,Branch Banking,Industrial Area,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032
RM 3,Branch Banking,Eldoret,22264,22264,22264,2261,2261,2261,2261,2261,2261,2261
RM 6,Institutional Banking,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 7,Corporate Sales,Milimani,6014,6676,9325,9325,8725,8704,8666,8698,7017,8125
RM 2,Branch Banking,Mombasa,2527,2527,2527,2527,2527,2527,2527,2527,2527,2527
RM 2,Branch Banking,Mombasa,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 13,Branch Banking,Industrial Area,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007
RM 3,Branch Banking,Eldoret,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 3,Branch Banking,Eldoret,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 8 ,Corporate Sales,Milimani,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004
RM 5,Corporate Banking,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 2,Branch Banking,Mombasa,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928
RM 3,Branch Banking,Eldoret,2103,2103,2103,900,1100,16100,2098,2098,2898,17898
RM 2,Branch Banking,Mombasa,1932,1932,1932,1932,1932,1932,1932,1932,1932,1932
RM 3,Branch Banking,Eldoret,1929,1929,1929,1929,1929,1929,1929,1929,1929,1929
RM 3,Branch Banking,Eldoret,20110,20110,20110,20110,19510,19510,19510,19510,18910,18910
RM 3,Branch Banking,Eldoret,1917,1917,1917,1917,1917,1917,1917,1917,1917,1917
RM 3,Branch Banking,Eldoret,1914,1914,1914,1914,1914,1914,1914,1914,1914,1914
RM 13,Branch Banking,Industrial Area,2907,2907,2907,2907,2907,2907,2907,2907,2907,2907
RM 2,Branch Banking,Mombasa,1911,1911,1911,1911,1911,1911,1911,1911,1911,1911
RM 3,Branch Banking,Eldoret,1901,1901,1901,1901,1901,1901,1901,1901,1901,1901
RM 1,Branch Banking,Milimani,10013,10013,10013,10013,9413,9413,9413,9413,8813,8813
RM 3,Branch Banking,Eldoret,1908,1908,1908,1908,1908,1908,1908,1908,1908,1908
RM 7,Corporate Sales,Milimani,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890
RM 3,Branch Banking,Eldoret,1877,1877,1877,1877,1877,1877,1877,1877,1877,1877
RM 2,Branch Banking,Mombasa,68683,68683,3683,3683,3683,3683,3683,3683,3683,3683
RM 3,Branch Banking,Eldoret,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 3,Branch Banking,Eldoret,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 6,Institutional Banking,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 5,Corporate Banking,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 2,Branch Banking,Mombasa,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845
RM 13,Branch Banking,Industrial Area,1848,1848,1848,1848,1848,    ,    ,    ,    ,    
RM 13,Branch Banking,Industrial Area,3408,3408,3408,3408,3408,3908,3908,3908,3908,3908
RM 8 ,Corporate Sales,Milimani,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835
RM 7,Corporate Sales,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 6,Institutional Banking,Milimani,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765
RM 2,Branch Banking,Mombasa,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763
RM 2,Branch Banking,Mombasa,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760
RM 13,Branch Banking,Industrial Area,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758
RM 2,Branch Banking,Mombasa,1747,1747,1747,1747,1747,1747,1747,1747,1747,1747
RM 2,Branch Banking,Mombasa,1718,1718,1718,1718,1718,1718,1718,1718,1718,1718
RM 3,Branch Banking,Eldoret,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717
RM 2,Branch Banking,Mombasa,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 13,Branch Banking,Industrial Area,1699,1699,1699,1699,1699,1699,1699,1699,1699,1699
RM 1,Branch Banking,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 3,Branch Banking,Eldoret,1694,1694,1694,1694,1694,1694,1694,1694,1694,1694
RM 3,Branch Banking,Eldoret,1692,1692,1692,1692,1692,1692,1692,1692,1692,1692
RM 3,Branch Banking,Eldoret,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058
RM 3,Branch Banking,Eldoret,    ,    ,4391,971984,587301,    ,1273,133551,549969,2781
RM 3,Branch Banking,Eldoret,606,606,606,606,606,606,606,606,606,606
RM 3,Branch Banking,Eldoret,1357,1357,1357,1357,1357,1357,1357,1357,1357,1357
RM 1,Branch Banking,Milimani,47,80,80,80,    ,    ,    ,    ,    ,    
RM 3,Branch Banking,Eldoret,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 3,Branch Banking,Eldoret,79,79,79,79,    ,    ,    ,    ,    ,    
RM 8 ,Corporate Sales,Milimani,1635,1635,1635,1635,1635,1635,1635,1635,1635,1635
RM 3,Branch Banking,Eldoret,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 7,Corporate Sales,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 8 ,Corporate Sales,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 2,Branch Banking,Mombasa,1586,1686,1686,1686,1686,1686,1686,1686,1786,1786
RM 3,Branch Banking,Eldoret,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586
RM 3,Branch Banking,Eldoret,1576,1576,1576,1576,1576,1576,1576,1576,1576,1576
RM 13,Branch Banking,Industrial Area,1574,1574,1574,1574,1574,1574,1574,1574,1574,1574
RM 3,Branch Banking,Eldoret,1566,1566,1566,1566,1566,1566,1566,1566,1566,1566
RM 2,Branch Banking,Mombasa,1579,1579,1579,1579,1579,1579,1579,1579,1579,1579
RM 2,Branch Banking,Mombasa,1578,1578,1578,1578,1578,1578,1578,1578,1578,1578
RM 5,Corporate Banking,Milimani,5000768,5000768,5000768,5000768,5000000,5000000,5000000,5000000,5000000,5000000
RM 3,Branch Banking,Eldoret,1541,1541,1541,1541,1541,1541,1541,1541,1541,1541
STAFF,Staff,Milimani,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549
RM 13,Branch Banking,Industrial Area,4082,4082,4082,4082,4082,4082,4082,4082,4082,4082
RM 5,Corporate Banking,Milimani,4074607,4074607,4074607,4074607,4074007,4074007,4074007,4074007,4073407,4073407
RM 3,Branch Banking,Eldoret,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525
RM 2,Branch Banking,Mombasa,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 1,Branch Banking,Milimani,1064311,1064311,1064311,1064311,1063711,1063711,1063711,1063711,1063111,1079339
RM 3,Branch Banking,Eldoret,752,752,752,752,752,752,752,752,752,752
RM 2,Branch Banking,Mombasa,1505,1505,1505,1505,1505,1505,1505,1505,1505,1505
RM 3,Branch Banking,Eldoret,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
RM 2,Branch Banking,Mombasa,1509,1509,1509,1509,1509,1509,1509,1509,1509,1522
RM 3,Branch Banking,Eldoret,1484,1484,1484,1484,1484,1484,1484,1484,1484,1484
RM 5,Corporate Banking,Milimani,36097,36097,36097,36097,35497,35497,35497,35497,34897,34897
RM 2,Branch Banking,Mombasa,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465
RM 2,Branch Banking,Mombasa,1486,1486,1486,1486,1486,1486,1486,1486,1486,1486
RM 1,Branch Banking,Milimani,540796,540796,540796,540796,540196,540196,575396,575396,574796,574796
RM 7,Corporate Sales,Milimani,389376,633966,633966,493834,423168,57772,17640,17640,17040,17040
RM 2,Branch Banking,Mombasa,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479
RM 3,Branch Banking,Eldoret,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479
RM 3,Branch Banking,Eldoret,1470,1470,1470,1470,1470,1470,1470,1470,26467,26467
RM 1,Branch Banking,Milimani,308987,308987,308987,308987,308387,308387,308387,308387,307787,307787
RM 3,Branch Banking,Eldoret,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461
RM 3,Branch Banking,Eldoret,1435,1435,1435,1435,1435,1635,1635,2335,2435,2685
RM 2,Branch Banking,Mombasa,1433,1433,1433,1433,1433,1433,1433,1433,1433,1433
RM 13,Branch Banking,Industrial Area,1391,1391,1391,1391,1391,1391,1391,1391,1391,1391
RM 13,Branch Banking,Industrial Area,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375
RM 3,Branch Banking,Eldoret,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382
RM 8 ,Corporate Sales,Milimani,287929,287929,287929,287929,287329,287329,287329,287329,286729,286729
RM 13,Branch Banking,Industrial Area,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361
RM 3,Branch Banking,Eldoret,1356,1356,1356,1356,1356,1356,1356,1356,1356,1356
RM 3,Branch Banking,Eldoret,1354,1354,1354,1354,1354,1354,1354,1354,1354,1354
RM 7,Corporate Sales,Milimani,    ,    ,    ,    ,186,    ,88,13588,13588,19588
RM 3,Branch Banking,Eldoret,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 3,Branch Banking,Eldoret,1319,1319,1319,1319,1319,1319,1319,1319,1319,1319
STAFF,Staff,Milimani,397,397,397,397,397,397,397,397,397,397
RM 1,Branch Banking,Milimani,250365,365,365,365,    ,    ,    ,    ,    ,    
RM 1,Branch Banking,Milimani,240640,240640,240640,240640,240040,240040,240040,240040,239440,239440
RM 3,Branch Banking,Eldoret,1299,1299,1299,1299,1299,1299,1299,1299,1299,1299
RM 5,Corporate Banking,Milimani,256622,256622,251492,251492,250892,250892,250892,250892,250292,250292
RM 3,Branch Banking,Eldoret,304,304,304,304,304,304,304,304,304,304
RM 3,Branch Banking,Eldoret,1293,1293,1293,1293,1293,1293,1293,1293,1293,1293
RM 5,Corporate Banking,Milimani,13132,13132,13132,13132,12532,12532,12532,12532,11932,11932
RM 3,Branch Banking,Eldoret,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 3,Branch Banking,Eldoret,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 2,Branch Banking,Mombasa,105471,5471,5471,5471,4871,4871,4871,4871,4271,4271
RM 2,Branch Banking,Mombasa,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275
RM 3,Branch Banking,Eldoret,1258,1258,1258,1258,1258,1258,1258,1258,1258,1258
RM 6,Institutional Banking,Milimani,177561,177561,177561,177561,176961,176961,176961,176961,176361,176361
RM 3,Branch Banking,Eldoret,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236
RM 8 ,Corporate Sales,Milimani,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243
RM 7,Corporate Sales,Milimani,157378,157378,157378,157378,156778,156778,156778,156778,156178,156178
RM 3,Branch Banking,Eldoret,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239
RM 3,Branch Banking,Eldoret,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232
RM 8 ,Corporate Sales,Milimani,143765,143765,143765,143765,143165,143165,143165,143165,142565,142565
RM 3,Branch Banking,Eldoret,1220,1220,1220,1220,1220,1220,1220,1220,1220,1220
RM 3,Branch Banking,Eldoret,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 1,Branch Banking,Milimani,134413,134413,134413,134413,133813,133813,133813,133813,133213,133213
RM 3,Branch Banking,Eldoret,1219,1219,1219,1219,1219,1219,1219,1219,1219,1219
RM 3,Branch Banking,Eldoret,1202,1202,1202,1202,1202,1202,1202,1202,1202,1202
RM 8 ,Corporate Sales,Milimani,122064,122064,122064,122064,121464,121464,121464,121464,120864,120864
RM 3,Branch Banking,Eldoret,1199,1199,1199,1199,1199,1199,1199,1199,1199,1199
RM 3,Branch Banking,Eldoret,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 1,Branch Banking,Milimani,118561,118561,118561,118561,117961,117961,117961,117961,117361,117361
RM 3,Branch Banking,Eldoret,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 1,Branch Banking,Milimani,110741,110741,110741,110741,110141,110141,110141,110141,109541,109541
RM 3,Branch Banking,Eldoret,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 1,Branch Banking,Milimani,103171,103171,103171,103171,102571,102571,102571,102571,101971,101971
RM 3,Branch Banking,Eldoret,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 3,Branch Banking,Eldoret,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 5,Corporate Banking,Milimani,98200,98200,98200,98200,97600,97600,97600,97600,97000,97000
RM 3,Branch Banking,Eldoret,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179
RM 3,Branch Banking,Eldoret,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170
RM 3,Branch Banking,Eldoret,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 13,Branch Banking,Industrial Area,60402,63587,627,10266,2289,3183,5581,92242,1239,27767
RM 3,Branch Banking,Eldoret,1174,1174,1174,1174,1174,1174,1174,1174,1174,1174
RM 3,Branch Banking,Eldoret,1174,1174,1174,1174,1174,1174,1174,1174,1174,1174
RM 3,Branch Banking,Eldoret,1174,1174,1174,1174,1174,1174,1174,1174,1174,1174
RM 3,Branch Banking,Eldoret,1169,1169,1169,1169,1169,1169,1169,1169,1169,1169
RM 3,Branch Banking,Eldoret,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 13,Branch Banking,Industrial Area,394257,394257,394257,394257,393657,393657,393657,403657,403057,403057
RM 3,Branch Banking,Eldoret,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161
RM 2,Branch Banking,Mombasa,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160
RM 3,Branch Banking,Eldoret,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158
RM 13,Branch Banking,Industrial Area,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149
RM 3,Branch Banking,Eldoret,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154
RM 2,Branch Banking,Mombasa,93596,93596,93596,93596,92996,92996,92996,92996,92396,92396
RM 3,Branch Banking,Eldoret,1339,4339,12339,17337,1332,10682,20702,3599,3599,3599
RM 2,Branch Banking,Mombasa,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127
RM 3,Branch Banking,Eldoret,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119
RM 2,Branch Banking,Mombasa,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120
RM 3,Branch Banking,Eldoret,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110
RM 3,Branch Banking,Eldoret,1114,1114,1114,1114,1114,1114,1114,1114,1114,1114
RM 3,Branch Banking,Eldoret,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 3,Branch Banking,Eldoret,1105,1105,1105,1105,1105,1105,1105,1105,1105,1105
RM 2,Branch Banking,Mombasa,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109
RM 3,Branch Banking,Eldoret,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107
RM 3,Branch Banking,Eldoret,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107
RM 3,Branch Banking,Eldoret,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
RM 3,Branch Banking,Eldoret,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103
RM 3,Branch Banking,Eldoret,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103
RM 3,Branch Banking,Eldoret,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103
RM 3,Branch Banking,Eldoret,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103
RM 3,Branch Banking,Eldoret,1090,1090,1090,1090,1090,1090,1090,1090,1090,1090
RM 3,Branch Banking,Eldoret,1087,1088,1100,1100,1100,1097,1090,1096,1096,1100
RM 13,Branch Banking,Industrial Area,25650,25650,25650,25650,25050,25050,25050,25050,24450,24450
RM 13,Branch Banking,Industrial Area,1072,1072,1072,1072,1072,1072,1072,1072,1072,1072
RM 13,Branch Banking,Industrial Area,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 6,Institutional Banking,Milimani,87270,87270,87270,87270,86670,86670,86670,86670,86070,86070
RM 3,Branch Banking,Eldoret,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054
RM 3,Branch Banking,Eldoret,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054
RM 3,Branch Banking,Eldoret,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054
RM 3,Branch Banking,Eldoret,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051
RM 3,Branch Banking,Eldoret,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061
RM 7,Corporate Sales,Milimani,71343,71343,71343,71343,70743,70743,70743,70743,70143,70143
RM 3,Branch Banking,Eldoret,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049
